tournament: 12200, best_winning_streak: 115, mean_duration: 692.91, stdev: 118.78089871692332
tournament: 12300, best_winning_streak: 115, mean_duration: 687.35, stdev: 105.8686332206098
tournament: 12400, best_winning_streak: 116, mean_duration: 671.48, stdev: 116.59806859463839
tournament: 12500, best_winning_streak: 119, mean_duration: 676.55, stdev: 116.92111657010466
tournament: 12600, best_winning_streak: 119, mean_duration: 690.83, stdev: 121.15981635839499
tournament: 12700, best_winning_streak: 121, mean_duration: 687.43, stdev: 131.6056423562455
tournament: 12800, best_winning_streak: 120, mean_duration: 691.21, stdev: 111.94242225358535
tournament: 12900, best_winning_streak: 121, mean_duration: 671.99, stdev: 132.27671715007142
tournament: 13000, best_winning_streak: 122, mean_duration: 655.64, stdev: 130.7976697040127
tournament: 13100, best_winning_streak: 123, mean_duration: 695.88, stdev: 130.6064531330669
tournament: 13200, best_winning_streak: 127, mean_duration: 678.46, stdev: 120.58096201308066
tournament: 13300, best_winning_streak: 127, mean_duration: 661.32, stdev: 117.00417770319144
tournament: 13400, best_winning_streak: 129, mean_duration: 683.25, stdev: 119.88731167225329
tournament: 13500, best_winning_streak: 130, mean_duration: 681.89, stdev: 125.40629130948733
tournament: 13600, best_winning_streak: 132, mean_duration: 670.08, stdev: 118.88294074424638
tournament: 13700, best_winning_streak: 133, mean_duration: 652.56, stdev: 121.43577067734202
tournament: 13800, best_winning_streak: 134, mean_duration: 696.18, stdev: 124.61744500670844
tournament: 13900, best_winning_streak: 134, mean_duration: 689.24, stdev: 122.36634504634026
tournament: 14000, best_winning_streak: 134, mean_duration: 671.35, stdev: 113.88356992999474
tournament: 14100, best_winning_streak: 136, mean_duration: 677.9, stdev: 125.97559287417545
tournament: 14200, best_winning_streak: 137, mean_duration: 681.26, stdev: 108.10001110083199
tournament: 14300, best_winning_streak: 137, mean_duration: 687.37, stdev: 115.04735155578331
tournament: 14400, best_winning_streak: 139, mean_duration: 657.38, stdev: 122.70939491334802
tournament: 14500, best_winning_streak: 139, mean_duration: 683.26, stdev: 117.82695956359055
tournament: 14600, best_winning_streak: 141, mean_duration: 670.23, stdev: 120.6445900154665
tournament: 14700, best_winning_streak: 142, mean_duration: 701.95, stdev: 110.32917791772039
tournament: 14800, best_winning_streak: 142, mean_duration: 687.02, stdev: 110.32651358581037
tournament: 14900, best_winning_streak: 143, mean_duration: 686.24, stdev: 110.2941630368534
tournament: 15000, best_winning_streak: 142, mean_duration: 668.81, stdev: 117.66143760807955
tournament: 15100, best_winning_streak: 142, mean_duration: 684.14, stdev: 117.66223013354795
tournament: 15200, best_winning_streak: 145, mean_duration: 672.92, stdev: 119.04181450229999
tournament: 15300, best_winning_streak: 147, mean_duration: 687.42, stdev: 121.5690898213851
tournament: 15400, best_winning_streak: 148, mean_duration: 678.08, stdev: 126.67814965494246
tournament: 15500, best_winning_streak: 144, mean_duration: 669.61, stdev: 125.41139461787354
tournament: 15600, best_winning_streak: 146, mean_duration: 663.02, stdev: 123.90262144119468
tournament: 15700, best_winning_streak: 148, mean_duration: 680.9, stdev: 115.02212830581774
tournament: 15800, best_winning_streak: 150, mean_duration: 670.56, stdev: 134.45298955397016
tournament: 15900, best_winning_streak: 151, mean_duration: 695.68, stdev: 116.19826848968103
tournament: 16000, best_winning_streak: 151, mean_duration: 692.48, stdev: 108.18340723049907
tournament: 16100, best_winning_streak: 151, mean_duration: 696.1, stdev: 117.25659896142308
tournament: 16200, best_winning_streak: 151, mean_duration: 674.72, stdev: 123.59814561715721
tournament: 16300, best_winning_streak: 152, mean_duration: 677.17, stdev: 126.58144058273314
tournament: 16400, best_winning_streak: 155, mean_duration: 678.88, stdev: 124.64929041113712
tournament: 16500, best_winning_streak: 158, mean_duration: 668.43, stdev: 119.43728521697065
tournament: 16600, best_winning_streak: 158, mean_duration: 689.69, stdev: 119.78094130536793
tournament: 16700, best_winning_streak: 162, mean_duration: 647.8, stdev: 122.24499989774633
tournament: 16800, best_winning_streak: 162, mean_duration: 670.9, stdev: 120.25543646754605
tournament: 16900, best_winning_streak: 161, mean_duration: 675.27, stdev: 124.91772132087586
tournament: 17000, best_winning_streak: 162, mean_duration: 662.33, stdev: 114.9616505622636
tournament: 17100, best_winning_streak: 162, mean_duration: 681.5, stdev: 128.20308108622038
tournament: 17200, best_winning_streak: 162, mean_duration: 678.15, stdev: 133.0011560100137
tournament: 17300, best_winning_streak: 164, mean_duration: 680.18, stdev: 118.89250438946941
tournament: 17400, best_winning_streak: 166, mean_duration: 671.28, stdev: 120.29639063579587
tournament: 17500, best_winning_streak: 167, mean_duration: 710.37, stdev: 121.98775799234939
tournament: 17600, best_winning_streak: 169, mean_duration: 666.27, stdev: 132.9535148087481
tournament: 17700, best_winning_streak: 170, mean_duration: 695.95, stdev: 132.35183225025636
tournament: 17800, best_winning_streak: 171, mean_duration: 671.43, stdev: 128.02798561252143
tournament: 17900, best_winning_streak: 173, mean_duration: 684.8, stdev: 112.48173185010977
tournament: 18000, best_winning_streak: 174, mean_duration: 669.04, stdev: 130.88452314922495
tournament: 18100, best_winning_streak: 174, mean_duration: 688.38, stdev: 118.03658585370894
tournament: 18200, best_winning_streak: 174, mean_duration: 690.56, stdev: 100.84882944288447
tournament: 18300, best_winning_streak: 174, mean_duration: 715.03, stdev: 128.2216405292024
tournament: 18400, best_winning_streak: 175, mean_duration: 685.35, stdev: 131.98396682930849
tournament: 18500, best_winning_streak: 175, mean_duration: 679.03, stdev: 127.2155222447324
tournament: 18600, best_winning_streak: 177, mean_duration: 702.31, stdev: 119.23025580782756
tournament: 18700, best_winning_streak: 178, mean_duration: 693.9, stdev: 125.79391877193427
tournament: 18800, best_winning_streak: 179, mean_duration: 685.26, stdev: 119.04348953218735
tournament: 18900, best_winning_streak: 180, mean_duration: 688.41, stdev: 117.10611384552047
tournament: 19000, best_winning_streak: 182, mean_duration: 683.96, stdev: 118.6029443142117
tournament: 19100, best_winning_streak: 182, mean_duration: 679.58, stdev: 113.23340319887943
tournament: 19200, best_winning_streak: 183, mean_duration: 680.2, stdev: 112.90659856713424
tournament: 19300, best_winning_streak: 182, mean_duration: 639.06, stdev: 126.16511562234626
tournament: 19400, best_winning_streak: 182, mean_duration: 686.06, stdev: 122.13319122990279
tournament: 19500, best_winning_streak: 181, mean_duration: 684.3, stdev: 112.08884868710179
tournament: 19600, best_winning_streak: 183, mean_duration: 683.13, stdev: 118.04123474447394
tournament: 19700, best_winning_streak: 183, mean_duration: 693.52, stdev: 115.22486537201942
tournament: 19800, best_winning_streak: 185, mean_duration: 694.38, stdev: 114.48578776424608
tournament: 19900, best_winning_streak: 185, mean_duration: 699.95, stdev: 121.53307163072938
tournament: 20000, best_winning_streak: 188, mean_duration: 680.07, stdev: 129.99309635515266
tournament: 20100, best_winning_streak: 188, mean_duration: 692.81, stdev: 120.8674228235218
tournament: 20200, best_winning_streak: 191, mean_duration: 675.95, stdev: 113.5066848251679
tournament: 20300, best_winning_streak: 192, mean_duration: 689.76, stdev: 116.16790606703731
tournament: 20400, best_winning_streak: 194, mean_duration: 698.71, stdev: 117.91160205849125
tournament: 20500, best_winning_streak: 195, mean_duration: 710.64, stdev: 118.18574533335227
tournament: 20600, best_winning_streak: 195, mean_duration: 696.58, stdev: 109.99465259729674
tournament: 20700, best_winning_streak: 197, mean_duration: 679.5, stdev: 116.60055746007393
tournament: 20800, best_winning_streak: 198, mean_duration: 673.17, stdev: 126.05562700649266
tournament: 20900, best_winning_streak: 200, mean_duration: 686.28, stdev: 131.53927778424207
tournament: 21000, best_winning_streak: 200, mean_duration: 684.83, stdev: 127.54137015102198
tournament: 21100, best_winning_streak: 202, mean_duration: 694.04, stdev: 116.20808233509406
tournament: 21200, best_winning_streak: 204, mean_duration: 658.81, stdev: 121.38597077092558
tournament: 21300, best_winning_streak: 205, mean_duration: 691.43, stdev: 127.7374068157014
tournament: 21400, best_winning_streak: 207, mean_duration: 689.86, stdev: 116.6090065132192
tournament: 21500, best_winning_streak: 207, mean_duration: 690.11, stdev: 130.0229129807512
tournament: 21600, best_winning_streak: 209, mean_duration: 653.82, stdev: 124.12295355815539
tournament: 21700, best_winning_streak: 211, mean_duration: 684.61, stdev: 121.75285581866243
tournament: 21800, best_winning_streak: 212, mean_duration: 697.38, stdev: 124.0992973388649
tournament: 21900, best_winning_streak: 212, mean_duration: 678.93, stdev: 115.66566085057396
tournament: 22000, best_winning_streak: 213, mean_duration: 668.93, stdev: 133.3362107606182
tournament: 22100, best_winning_streak: 215, mean_duration: 696.68, stdev: 130.3542772600884
tournament: 22200, best_winning_streak: 216, mean_duration: 673.69, stdev: 137.10460933170702
tournament: 22300, best_winning_streak: 217, mean_duration: 700.02, stdev: 122.83525389724238
tournament: 22400, best_winning_streak: 218, mean_duration: 692.19, stdev: 129.9651257068603
tournament: 22500, best_winning_streak: 219, mean_duration: 690.25, stdev: 118.99566168562617
tournament: 22600, best_winning_streak: 221, mean_duration: 688.54, stdev: 122.99418035012874
tournament: 22700, best_winning_streak: 222, mean_duration: 688.11, stdev: 109.69465757273687
tournament: 22800, best_winning_streak: 223, mean_duration: 685.38, stdev: 140.30721863111677
tournament: 22900, best_winning_streak: 224, mean_duration: 694.78, stdev: 128.60432185583812
tournament: 23000, best_winning_streak: 225, mean_duration: 691.72, stdev: 118.74755408007358
tournament: 23100, best_winning_streak: 227, mean_duration: 694.79, stdev: 112.56591802139758
tournament: 23200, best_winning_streak: 229, mean_duration: 685.58, stdev: 131.0288655220673
tournament: 23300, best_winning_streak: 230, mean_duration: 686.96, stdev: 119.66845198296835
tournament: 23400, best_winning_streak: 232, mean_duration: 697.18, stdev: 130.76072651985382
tournament: 23500, best_winning_streak: 231, mean_duration: 699.28, stdev: 138.6564877674319
tournament: 23600, best_winning_streak: 232, mean_duration: 677.12, stdev: 127.11847072711346
tournament: 23700, best_winning_streak: 233, mean_duration: 685.05, stdev: 123.68980354095483
tournament: 23800, best_winning_streak: 234, mean_duration: 668.93, stdev: 116.39117277525817
tournament: 23900, best_winning_streak: 238, mean_duration: 690.27, stdev: 125.15525198728177
tournament: 24000, best_winning_streak: 238, mean_duration: 690.56, stdev: 130.53454102267338
tournament: 24100, best_winning_streak: 239, mean_duration: 716.82, stdev: 127.88560356818903
tournament: 24200, best_winning_streak: 242, mean_duration: 684.2, stdev: 127.46560320337406
tournament: 24300, best_winning_streak: 243, mean_duration: 668.74, stdev: 126.37647091132115
tournament: 24400, best_winning_streak: 245, mean_duration: 693.65, stdev: 122.30056214098119
tournament: 24500, best_winning_streak: 244, mean_duration: 697.93, stdev: 121.74179684890477
tournament: 24600, best_winning_streak: 246, mean_duration: 719.89, stdev: 122.88318802830597
tournament: 24700, best_winning_streak: 247, mean_duration: 674.09, stdev: 125.83577353042338
tournament: 24800, best_winning_streak: 247, mean_duration: 706.69, stdev: 135.21380809665854
tournament: 24900, best_winning_streak: 249, mean_duration: 704.67, stdev: 126.3890861585762
tournament: 25000, best_winning_streak: 249, mean_duration: 689.98, stdev: 130.91432160004496
tournament: 25100, best_winning_streak: 250, mean_duration: 680.84, stdev: 129.1943280488737
tournament: 25200, best_winning_streak: 252, mean_duration: 709.64, stdev: 126.63526523050363
tournament: 25300, best_winning_streak: 253, mean_duration: 676.5, stdev: 115.57279091550917
tournament: 25400, best_winning_streak: 255, mean_duration: 671.99, stdev: 119.60062667059901
tournament: 25500, best_winning_streak: 257, mean_duration: 687.69, stdev: 124.86990790418642
tournament: 25600, best_winning_streak: 257, mean_duration: 699.63, stdev: 108.72393066845954
tournament: 25700, best_winning_streak: 257, mean_duration: 690.81, stdev: 113.30089981990434
tournament: 25800, best_winning_streak: 257, mean_duration: 690.73, stdev: 105.64306460908828
tournament: 25900, best_winning_streak: 258, mean_duration: 677.58, stdev: 126.28382160831211
tournament: 26000, best_winning_streak: 260, mean_duration: 698.38, stdev: 106.68906035765805
tournament: 26100, best_winning_streak: 260, mean_duration: 692.08, stdev: 119.45674363551018
